            template_key             | channel  | locale |                   subject_preview                   |                                                       body_preview                                                       
-------------------------------------+----------+--------+-----------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------
 absence.admin_notice                | email    | ar     | {{reporter_name}} غائب                              | أبلغ {{reporter_name}} عن غياب من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عر
 absence.admin_notice                | email    | en     | {{reporter_name}} is absent                         | {{reporter_name}} reported an absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}}. {{#if nominated_substitut
 absence.admin_notice                | whatsapp | ar     |                                                     | أبلغ {{reporter_name}} عن غياب من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عر
 absence.admin_notice                | whatsapp | en     |                                                     | {{reporter_name}} reported an absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}}. {{#if nominated_substitut
 absence.admin_notice                | in_app   | ar     | {{reporter_name}} غائب                              | أبلغ {{reporter_name}} عن غياب من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عر
 absence.admin_notice                | in_app   | en     | {{reporter_name}} is absent                         | {{reporter_name}} reported an absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}}. {{#if nominated_substitut
 absence.admin_notice                | sms      | ar     |                                                     | أبلغ {{reporter_name}} عن غياب من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عر
 absence.admin_notice                | sms      | en     |                                                     | {{reporter_name}} reported an absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}}. {{#if nominated_substitut
 absence.cancelled                   | email    | ar     | تم إلغاء الغياب                                     | تم إلغاء غياب {{reporter_name}}. تم إلغاء أي تغطية مخصصة.
 absence.cancelled                   | email    | en     | Absence cancelled                                   | {{reporter_name}}'s absence has been cancelled. Any assigned cover has been released.
 absence.cancelled                   | whatsapp | ar     |                                                     | تم إلغاء غياب {{reporter_name}}. تم إلغاء أي تغطية مخصصة.
 absence.cancelled                   | whatsapp | en     |                                                     | {{reporter_name}}'s absence has been cancelled. Any assigned cover has been released.
 absence.cancelled                   | in_app   | ar     | تم إلغاء الغياب                                     | تم إلغاء غياب {{reporter_name}}. تم إلغاء أي تغطية مخصصة.
 absence.cancelled                   | in_app   | en     | Absence cancelled                                   | {{reporter_name}}'s absence has been cancelled. Any assigned cover has been released.
 absence.cancelled                   | sms      | ar     |                                                     | تم إلغاء غياب {{reporter_name}}. تم إلغاء أي تغطية مخصصة.
 absence.cancelled                   | sms      | en     |                                                     | {{reporter_name}}'s absence has been cancelled. Any assigned cover has been released.
 absence.self_reported_confirmation  | email    | ar     | تم تسجيل الغياب                                     | تم تسجيل غيابك من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عرض التغطية على {{
 absence.self_reported_confirmation  | email    | en     | Absence reported                                    | Your absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}} has been logged. {{#if nominated_substitute}}We've 
 absence.self_reported_confirmation  | whatsapp | ar     |                                                     | تم تسجيل غيابك من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عرض التغطية على {{
 absence.self_reported_confirmation  | whatsapp | en     |                                                     | Your absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}} has been logged. {{#if nominated_substitute}}We've 
 absence.self_reported_confirmation  | in_app   | ar     | تم تسجيل الغياب                                     | تم تسجيل غيابك من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عرض التغطية على {{
 absence.self_reported_confirmation  | in_app   | en     | Absence reported                                    | Your absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}} has been logged. {{#if nominated_substitute}}We've 
 absence.self_reported_confirmation  | sms      | ar     |                                                     | تم تسجيل غيابك من {{date_from}}{{#if date_to}} إلى {{date_to}}{{/if}}. {{#if nominated_substitute}}تم عرض التغطية على {{
 absence.self_reported_confirmation  | sms      | en     |                                                     | Your absence from {{date_from}}{{#if date_to}} to {{date_to}}{{/if}} has been logged. {{#if nominated_substitute}}We've 
 admissions_application_received     | email    | ar     | تم استلام الطلب — {{school_name}}                   | <p>عزيزي ولي الأمر،</p><p>شكراً لتقديم طلبكم إلى <strong>{{school_name}}</strong>. لقد استلمنا ما يلي:</p><ul>{{#each st
 admissions_application_received     | email    | en     | Application Received — {{school_name}}              | <p>Dear Parent,</p><p>Thank you for submitting your application to <strong>{{school_name}}</strong>. We have received th
 admissions_application_withdrawn    | email    | ar     | سحب الطلب — {{student_name}}                        | <p>عزيزي ولي الأمر،</p><p>نؤكد لكم أن طلب القبول الخاص بـ <strong>{{student_name}}</strong> (رقم الطلب: <strong>{{applic
 admissions_application_withdrawn    | email    | en     | Application Withdrawn — {{student_name}}            | <p>Dear Parent,</p><p>This is to confirm that the application for <strong>{{student_name}}</strong> (Application No. <st
 announcement.published              | email    | ar     | إعلان جديد: {{title}}                               | عزيزي {{recipient_name}}،                                                                                               +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | تم نشر إعلان جديد:                                                                                                      +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | **{{title}}**                                                                                                           +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | {{body}}                                                                                                                +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | هذا الإعلان من {{school_name}}.                                                                                         +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | مع التحية،                                                                                                              +
                                     |          |        |                                                     | فريق
 announcement.published              | email    | en     | New Announcement: {{title}}                         | Dear {{recipient_name}},                                                                                                +
                                     |          |        |                                                     |                                                                                                                         +
                                     |          |        |                                                     | A new announcement has been published:                                                                                  +
                                     |          |        |                                                     |                                                                                                                         +
